Zip,Household Median,Family Median,Married Couple Median,Nonfamily Household Median,Household Mean,Family Mean,Married Couple Mean,Nonfamily Mean
97327,51898,63720,68148,33913,73701,84239,N,53880
97329,-,-,-,-,54477,82298,N,N
97330,53610,82646,95503,29445,80126,111916,N,42454
97331,-,-,-,-,-,-,-,-
97333,52314,80879,89512,30673,71459,94157,N,45582
97338,61430,74422,81361,37833,70429,79253,N,45445
97341,46981,59563,62663,22679,64855,82164,N,39204
97342,25250,-,-,26000,60676,70870,N,28133
97343,22500,-,-,-2500,36535,73795,N,11252
97344,43802,51944,65938,21442,60415,67301,N,40933
97345,43229,43785,43819,31389,42877,45901,N,35767
97346,63281,77813,78641,27917,62935,69923,N,37561
97347,44183,47744,52688,27768,53380,58407,N,36200
97348,60863,60089,60595,76786,80348,86354,N,64027
97350,43906,67500,76250,18625,52215,65903,N,24681
97351,47758,54787,66204,28472,58857,65593,N,41653
97352,65263,65952,79167,36563,74682,76680,N,45130
97355,50021,60784,69694,22680,61518,72027,N,34202
97357,54474,80104,82083,48750,63310,76422,N,50712
97358,65344,66829,69853,43333,72774,79354,N,47297
97360,39167,52083,53922,16172,47040,60532,N,26933
97361,41400,66214,73596,19690,53495,70109,N,29269
97362,53813,68594,69241,17401,66582,79232,N,30984
97364,53563,78125,78482,47583,64005,77381,N,37148
97365,47949,62776,69721,30234,60454,69942,N,44015
97366,50337,58456,61563,42143,72002,84828,N,49093
97367,38843,48821,53500,29063,48622,57414,N,37042
97368,40662,48942,53706,22157,67250,63731,N,66474
97369,-,-,-,26731,125819,148283,N,30972
97370,71992,82798,84194,35472,85703,97715,N,48801
97371,121500,-,-,155125,152343,154690,N,139863
97373,-,-,-,-,-,-,-,-
97374,61800,72400,83682,41929,77203,84984,N,46928
97375,71505,72476,76875,-,75065,81720,N,17113
